FID,fid,the_geom,FID1,FID_1,FID_,Soil_Lab_I,Plant_Lab,Field_ID,Waypoint,Lat,Long,Elevation,GEO4_2L_,GEO4_2L_ID,GLG,Geology
Portugal_sampling_locations_with_geo.1,1,POINT (-8.868911024 37.15342099),111,24,25,PT16-21,T17-24,PT16-21,34,37.15342099,-8.86891102,131.497681,10109,8636,C,Undivided Carboniferous rocks
Portugal_sampling_locations_with_geo.2,2,POINT (-8.740149988 37.29723701),112,25,26,PT16-22,T17-25,PT16-22,35,37.29723701,-8.74014999,324.157104,10109,8636,C,Undivided Carboniferous rocks
Portugal_sampling_locations_with_geo.3,3,POINT (-8.626586013 37.29297901),113,26,27,PT16-23,T17-26,PT16-23,36,37.29297901,-8.62658601,479.300812,10109,8636,C,Undivided Carboniferous rocks
Portugal_sampling_locations_with_geo.4,4,POINT (-8.470951002 37.34284303),114,27,28,PT16-24,T17-27,PT16-24,37,37.34284303,-8.470951,276.764923,10109,8636,C,Undivided Carboniferous rocks
Portugal_sampling_locations_with_geo.5,5,POINT (-7.485225024 37.29260702),115,37,38,PT16-34,T17-37,PT16-34,47,37.29260702,-7.48522502,128.480301,10109,8636,C,Undivided Carboniferous rocks
Portugal_sampling_locations_with_geo.6,6,POINT (-7.60251903 37.44568303),116,38,39,PT16-35,T17-38,PT16-35,48,37.44568303,-7.60251903,250.808975,10109,8636,C,Undivided Carboniferous rocks
Portugal_sampling_locations_with_geo.7,7,POINT (-7.897837032 37.38566701),117,39,40,PT16-36,T17-39,PT16-36,49,37.38566701,-7.89783703,318.991791,10109,8636,C,Undivided Carboniferous rocks
Portugal_sampling_locations_with_geo.8,8,POINT (-8.018852016 37.47598797),118,40,41,PT16-37,T17-40,PT16-37,50,37.47598797,-8.01885202,284.139771,10109,8636,C,Undivided Carboniferous rocks
Portugal_sampling_locations_with_geo.9,9,POINT (-8.485755036 37.41831402),119,42,43,PT16-39,T17-42,PT16-39,52,37.41831402,-8.48575504,131.154175,10109,8636,C,Undivided Carboniferous rocks
Portugal_sampling_locations_with_geo.10,10,POINT (-8.617309006 37.47242197),120,43,44,PT16-40,T17-43,PT16-40,53,37.47242197,-8.61730901,131.484848,10109,8636,C,Undivided Carboniferous rocks
Portugal_sampling_locations_with_geo.11,11,POINT (-8.688474968 37.50204999),121,44,45,PT16-41,T17-44,PT16-41,54,37.50204999,-8.68847497,184.584747,10109,8636,C,Undivided Carboniferous rocks
Portugal_sampling_locations_with_geo.12,12,POINT (-8.16396296 37.86728899),122,54,55,PT16-51,T17-54,PT16-51,66,37.86728899,-8.16396296,211.017456,10109,8636,C,Undivided Carboniferous rocks
Portugal_sampling_locations_with_geo.13,13,POINT (-8.221547976 37.74900701),123,55,56,PT16-52,T17-55,PT16-52,67,37.74900701,-8.22154798,177.529526,10109,8636,C,Undivided Carboniferous rocks
Portugal_sampling_locations_with_geo.14,14,POINT (-8.270906992 37.84402996),124,57,58,PT16-54,T17-57,PT16-54,69,37.84402996,-8.27090699,154.282394,10109,8636,C,Undivided Carboniferous rocks
Portugal_sampling_locations_with_geo.15,15,POINT (-7.487756023 41.17318603),28,143,144,SA18-5-17,T17-79,PT16-138,157,41.17318603,-7.48775602,449.657593,7303,7056,Cm,Undivided Cambrian rocks
Portugal_sampling_locations_with_geo.16,16,POINT (-6.804741975 41.15034602),29,144,145,SA18-5-18,T17-80,PT16-139,158,41.15034602,-6.80474197,794.397522,7303,7056,Cm,Undivided Cambrian rocks
Portugal_sampling_locations_with_geo.17,17,POINT (-8.197351014 40.35500198),31,115,116,#53 SA19-5-53_PT16-112,#59 SA18-8-52_Pt16-112,PT16-112,131,40.35500198,-8.19735101,178.478119,7459,7101,Cm,Undivided Cambrian rocks
Portugal_sampling_locations_with_geo.18,18,POINT (-8.31501198 40.48828304),32,117,118,{},#61 SA18-8-54_Pt16-114,PT16-114,133,40.48828304,-8.31501198,397.808197,7459,7101,Cm,Undivided Cambrian rocks
Portugal_sampling_locations_with_geo.19,19,POINT (-8.31501198 40.48828304),33,119,120,#55 SA19-5-55_PT16-114,#61 SA18-8-54_Pt16-114,PT16-114,133,40.48828304,-8.31501198,397.808197,7459,7101,Cm,Undivided Cambrian rocks
Portugal_sampling_locations_with_geo.20,20,POINT (-8.454213012 40.82282198),34,124,125,#60 SA19-5-60_PT16-119,#03 SA18-8-59_Pt16-119,PT16-119,138,40.82282198,-8.45421301,310.374786,7459,7101,Cm,Undivided Cambrian rocks
Portugal_sampling_locations_with_geo.21,21,POINT (-8.114462039 39.87546299),35,131,132,SA18-5-5,T17-67,PT16-126,145,39.87546299,-8.11446204,451.698425,7459,7101,Cm,Undivided Cambrian rocks
Portugal_sampling_locations_with_geo.22,22,POINT (-7.57557096 40.16819802),36,135,136,SA18-5-9,T17-71,PT16-130,149,40.16819802,-7.57557096,595.562256,7459,7101,Cm,Undivided Cambrian rocks
Portugal_sampling_locations_with_geo.23,23,POINT (-7.35445099 38.84790704),79,94,95,#32 SA19-5-32_PT16-91,#38 SA18-8-31_Pt16-91,PT16-91,108,38.84790704,-7.35445099,311.627228,9356,8089,Cm,Undivided Cambrian rocks
Portugal_sampling_locations_with_geo.24,24,POINT (-7.300016982 38.95381699),80,95,96,#33 SA19-5-33_PT16-92,#39 SA18-8-32_Pt16-92,PT16-92,109,38.95381699,-7.30001698,367.938507,9356,8089,Cm,Undivided Cambrian rocks
Portugal_sampling_locations_with_geo.25,25,POINT (-7.684402009 39.159972),81,102,103,#40 SA19-5-40_PT16-99,#46 SA18-8-39_Pt16-99,PT16-99,116,39.159972,-7.68440201,234.960373,9356,8089,Cm,Undivided Cambrian rocks
