FID,fid,Geometry,name,visibility,open,address,phoneNumber,description,LookAt,Region,Folder
geonode_corsica_t1.1,1,POINT (8.755229032000045 42.57043001200003),corsica_t1.1,true,true,,,"<h4>corsica_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">OID_</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">001</span></li>
  <li><strong><span class=""atr-name"">FolderPath</span>:</strong> <span class=""atr-value"">Corsica_T1.kml/Corsica_T1</span></li>
  <li><strong><span class=""atr-name"">SymbolID</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">AltMode</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">Base</span>:</strong> <span class=""atr-value"">0.0</span></li>
  
  <li><strong><span class=""atr-name"">PopupInfo</span>:</strong> <span class=""atr-value"">Latitude: 42.57043001 Longitude : 8.755229032</span></li>
  <li><strong><span class=""atr-name"">HasLabel</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">LabelID</span>:</strong> <span class=""atr-value"">0</span></li>
</ul>",POINT (8.755229032000045 42.570430012000045),,geonode:corsica_t1
geonode_corsica_t1.2,2,POINT (8.753899997000076 42.568982961000074),corsica_t1.2,true,true,,,"<h4>corsica_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">OID_</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">002</span></li>
  <li><strong><span class=""atr-name"">FolderPath</span>:</strong> <span class=""atr-value"">Corsica_T1.kml/Corsica_T1</span></li>
  <li><strong><span class=""atr-name"">SymbolID</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">AltMode</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">Base</span>:</strong> <span class=""atr-value"">0.0</span></li>
  
  <li><strong><span class=""atr-name"">PopupInfo</span>:</strong> <span class=""atr-value"">Latitude: 42.5689829607 Longitude : 8.7538999971</span></li>
  <li><strong><span class=""atr-name"">HasLabel</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">LabelID</span>:</strong> <span class=""atr-value"">0</span></li>
</ul>",POINT (8.753899997000076 42.56898296100009),,geonode:corsica_t1
geonode_corsica_t1.3,3,POINT (8.721176041000035 42.53499803100004),corsica_t1.3,true,true,,,"<h4>corsica_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">OID_</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">003</span></li>
  <li><strong><span class=""atr-name"">FolderPath</span>:</strong> <span class=""atr-value"">Corsica_T1.kml/Corsica_T1</span></li>
  <li><strong><span class=""atr-name"">SymbolID</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">AltMode</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">Base</span>:</strong> <span class=""atr-value"">0.0</span></li>
  
  <li><strong><span class=""atr-name"">PopupInfo</span>:</strong> <span class=""atr-value"">Latitude: 42.5349980313 Longitude : 8.7211760413</span></li>
  <li><strong><span class=""atr-name"">HasLabel</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">LabelID</span>:</strong> <span class=""atr-value"">0</span></li>
</ul>",POINT (8.721176041000035 42.53499803100006),,geonode:corsica_t1
geonode_corsica_t1.4,4,POINT (8.683568034000075 42.470396021000056),corsica_t1.4,true,true,,,"<h4>corsica_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">OID_</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">004</span></li>
  <li><strong><span class=""atr-name"">FolderPath</span>:</strong> <span class=""atr-value"">Corsica_T1.kml/Corsica_T1</span></li>
  <li><strong><span class=""atr-name"">SymbolID</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">AltMode</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">Base</span>:</strong> <span class=""atr-value"">0.0</span></li>
  
  <li><strong><span class=""atr-name"">PopupInfo</span>:</strong> <span class=""atr-value"">Latitude: 42.4703960214 Longitude : 8.6835680343</span></li>
  <li><strong><span class=""atr-name"">HasLabel</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">LabelID</span>:</strong> <span class=""atr-value"">0</span></li>
</ul>",POINT (8.683568034000075 42.470396021000056),,geonode:corsica_t1
geonode_corsica_t1.5,5,POINT (8.67186103000006 42.426071009000054),corsica_t1.5,true,true,,,"<h4>corsica_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">OID_</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">005</span></li>
  <li><strong><span class=""atr-name"">FolderPath</span>:</strong> <span class=""atr-value"">Corsica_T1.kml/Corsica_T1</span></li>
  <li><strong><span class=""atr-name"">SymbolID</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">AltMode</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">Base</span>:</strong> <span class=""atr-value"">0.0</span></li>
  
  <li><strong><span class=""atr-name"">PopupInfo</span>:</strong> <span class=""atr-value"">Latitude: 42.4260710087 Longitude : 8.6718610302</span></li>
  <li><strong><span class=""atr-name"">HasLabel</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">LabelID</span>:</strong> <span class=""atr-value"">0</span></li>
</ul>",POINT (8.67186103000006 42.42607100900005),,geonode:corsica_t1
geonode_corsica_t1.6,6,POINT (8.682460030000072 42.415148970000075),corsica_t1.6,true,true,,,"<h4>corsica_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">OID_</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">006</span></li>
  <li><strong><span class=""atr-name"">FolderPath</span>:</strong> <span class=""atr-value"">Corsica_T1.kml/Corsica_T1</span></li>
  <li><strong><span class=""atr-name"">SymbolID</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">AltMode</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">Base</span>:</strong> <span class=""atr-value"">0.0</span></li>
  
  <li><strong><span class=""atr-name"">PopupInfo</span>:</strong> <span class=""atr-value"">Latitude: 42.4151489697 Longitude : 8.6824600305</span></li>
  <li><strong><span class=""atr-name"">HasLabel</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">LabelID</span>:</strong> <span class=""atr-value"">0</span></li>
</ul>",POINT (8.682460030000072 42.415148970000075),,geonode:corsica_t1
geonode_corsica_t1.7,7,POINT (8.691775007000047 42.388268039000025),corsica_t1.7,true,true,,,"<h4>corsica_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">OID_</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">007</span></li>
  <li><strong><span class=""atr-name"">FolderPath</span>:</strong> <span class=""atr-value"">Corsica_T1.kml/Corsica_T1</span></li>
  <li><strong><span class=""atr-name"">SymbolID</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">AltMode</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">Base</span>:</strong> <span class=""atr-value"">0.0</span></li>
  
  <li><strong><span class=""atr-name"">PopupInfo</span>:</strong> <span class=""atr-value"">Latitude: 42.3882680386 Longitude : 8.6917750072</span></li>
  <li><strong><span class=""atr-name"">HasLabel</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">LabelID</span>:</strong> <span class=""atr-value"">0</span></li>
</ul>",POINT (8.691775007000047 42.388268039000025),,geonode:corsica_t1
geonode_corsica_t1.8,8,POINT (8.749862015000076 42.38477496400003),corsica_t1.8,true,true,,,"<h4>corsica_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">OID_</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">008</span></li>
  <li><strong><span class=""atr-name"">FolderPath</span>:</strong> <span class=""atr-value"">Corsica_T1.kml/Corsica_T1</span></li>
  <li><strong><span class=""atr-name"">SymbolID</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">AltMode</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">Base</span>:</strong> <span class=""atr-value"">0.0</span></li>
  
  <li><strong><span class=""atr-name"">PopupInfo</span>:</strong> <span class=""atr-value"">Latitude: 42.3847749643 Longitude : 8.7498620152</span></li>
  <li><strong><span class=""atr-name"">HasLabel</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">LabelID</span>:</strong> <span class=""atr-value"">0</span></li>
</ul>",POINT (8.74986201500009 42.38477496400003),,geonode:corsica_t1
geonode_corsica_t1.9,9,POINT (8.851512959000047 42.443954973000075),corsica_t1.9,true,true,,,"<h4>corsica_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">OID_</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">009</span></li>
  <li><strong><span class=""atr-name"">FolderPath</span>:</strong> <span class=""atr-value"">Corsica_T1.kml/Corsica_T1</span></li>
  <li><strong><span class=""atr-name"">SymbolID</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">AltMode</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">Base</span>:</strong> <span class=""atr-value"">0.0</span></li>
  
  <li><strong><span class=""atr-name"">PopupInfo</span>:</strong> <span class=""atr-value"">Latitude: 42.4439549726 Longitude : 8.8515129592</span></li>
  <li><strong><span class=""atr-name"">HasLabel</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">LabelID</span>:</strong> <span class=""atr-value"">0</span></li>
</ul>",POINT (8.851512959000047 42.44395497300008),,geonode:corsica_t1
geonode_corsica_t1.10,10,POINT (8.80399796200004 42.48020201000003),corsica_t1.10,true,true,,,"<h4>corsica_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">OID_</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">010</span></li>
  <li><strong><span class=""atr-name"">FolderPath</span>:</strong> <span class=""atr-value"">Corsica_T1.kml/Corsica_T1</span></li>
  <li><strong><span class=""atr-name"">SymbolID</span>:</strong> <span class=""atr-value"">0</span></li>
  <li><strong><span class=""atr-name"">AltMode</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">Base</span>:</strong> <span class=""atr-value"">0.0</span></li>
  
  <li><strong><span class=""atr-name"">PopupInfo</span>:</strong> <span class=""atr-value"">Latitude: 42.4802020099 Longitude : 8.8039979618</span></li>
  <li><strong><span class=""atr-name"">HasLabel</span>:</strong> <span class=""atr-value"">-1</span></li>
  <li><strong><span class=""atr-name"">LabelID</span>:</strong> <span class=""atr-value"">0</span></li>
</ul>",POINT (8.80399796200004 42.48020201000003),,geonode:corsica_t1
