FID,fid,Geometry,name,visibility,open,address,phoneNumber,description,LookAt,Region,Folder
geonode_sr_israel_t1.1,1,POINT (34.94729166700006 32.72029833300007),sr_israel_t1.1,true,true,,,"<h4>sr_israel_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">Latitude</span>:</strong> <span class=""atr-value"">N32°43.2179'</span></li>
  <li><strong><span class=""atr-name"">Longitude</span>:</strong> <span class=""atr-value"">E034°56.8375'</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">IS001</span></li>
  <li><strong><span class=""atr-name"">Descriptio</span>:</strong> <span class=""atr-value"">Soil</span></li>
  <li><strong><span class=""atr-name"">Researcher</span>:</strong> <span class=""atr-value"">Ian Moffat</span></li>
  <li><strong><span class=""atr-name"">Elevation</span>:</strong> <span class=""atr-value"">4.5</span></li>
  <li><strong><span class=""atr-name"">Site_Locat</span>:</strong> <span class=""atr-value"">On highway from Haifa-Tel Aviv under railway bridge @ ""railway"" archaeological site</span></li>
  <li><strong><span class=""atr-name"">Geology_ob</span>:</strong> <span class=""atr-value"">Calcareous Sandstone</span></li>
  <li><strong><span class=""atr-name"">Symbol</span>:</strong> <span class=""atr-value"">qk</span></li>
  <li><strong><span class=""atr-name"">Lithology_</span>:</strong> <span class=""atr-value"">Clay, silt, sand</span></li>
  <li><strong><span class=""atr-name"">Age</span>:</strong> <span class=""atr-value"">Quaternary</span></li>
</ul>",POINT (34.94729166700006 32.720298333000066),,geonode:sr_israel_t1
geonode_sr_israel_t1.2,2,POINT (34.86782666700003 32.38977500000004),sr_israel_t1.2,true,true,,,"<h4>sr_israel_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">Latitude</span>:</strong> <span class=""atr-value"">N32°23.3865'</span></li>
  <li><strong><span class=""atr-name"">Longitude</span>:</strong> <span class=""atr-value"">E034°52.0696'</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">IS002</span></li>
  <li><strong><span class=""atr-name"">Descriptio</span>:</strong> <span class=""atr-value"">Soil</span></li>
  <li><strong><span class=""atr-name"">Researcher</span>:</strong> <span class=""atr-value"">Ian Moffat</span></li>
  <li><strong><span class=""atr-name"">Elevation</span>:</strong> <span class=""atr-value"">0.2</span></li>
  <li><strong><span class=""atr-name"">Site_Locat</span>:</strong> <span class=""atr-value"">Unconsolidated coastal dune between highway 2 and the beach near Hadera</span></li>
  <li><strong><span class=""atr-name"">Geology_ob</span>:</strong> <span class=""atr-value"">No Bedrock</span></li>
  <li><strong><span class=""atr-name"">Symbol</span>:</strong> <span class=""atr-value"">qs</span></li>
  <li><strong><span class=""atr-name"">Lithology_</span>:</strong> <span class=""atr-value"">Gravel, sand, silt</span></li>
  <li><strong><span class=""atr-name"">Age</span>:</strong> <span class=""atr-value"">Quaternary</span></li>
</ul>",POINT (34.867826667000024 32.38977500000003),,geonode:sr_israel_t1
geonode_sr_israel_t1.3,3,POINT (34.92714166700006 32.534373333000076),sr_israel_t1.3,true,true,,,"<h4>sr_israel_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">Latitude</span>:</strong> <span class=""atr-value"">N32°32.0624'</span></li>
  <li><strong><span class=""atr-name"">Longitude</span>:</strong> <span class=""atr-value"">E034°55.6285'</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">IS003</span></li>
  <li><strong><span class=""atr-name"">Descriptio</span>:</strong> <span class=""atr-value"">Soil</span></li>
  <li><strong><span class=""atr-name"">Researcher</span>:</strong> <span class=""atr-value"">Ian Moffat</span></li>
  <li><strong><span class=""atr-name"">Elevation</span>:</strong> <span class=""atr-value"">4.9</span></li>
  <li><strong><span class=""atr-name"">Site_Locat</span>:</strong> <span class=""atr-value"">On edge of olive grove, off Highway 4 near Bet Hanayan, near foot of Carmel Range</span></li>
  <li><strong><span class=""atr-name"">Geology_ob</span>:</strong> <span class=""atr-value"">No Bedrock</span></li>
  <li><strong><span class=""atr-name"">Symbol</span>:</strong> <span class=""atr-value"">qk</span></li>
  <li><strong><span class=""atr-name"">Lithology_</span>:</strong> <span class=""atr-value"">Clay, silt, sand</span></li>
  <li><strong><span class=""atr-name"">Age</span>:</strong> <span class=""atr-value"">Quaternary</span></li>
</ul>",POINT (34.92714166700006 32.534373333000076),,geonode:sr_israel_t1
geonode_sr_israel_t1.4,4,POINT (34.93363833300003 32.56113666700003),sr_israel_t1.4,true,true,,,"<h4>sr_israel_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">Latitude</span>:</strong> <span class=""atr-value"">N32°33.6682'</span></li>
  <li><strong><span class=""atr-name"">Longitude</span>:</strong> <span class=""atr-value"">E034°56.0183'</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">IS004</span></li>
  <li><strong><span class=""atr-name"">Descriptio</span>:</strong> <span class=""atr-value"">Rock</span></li>
  <li><strong><span class=""atr-name"">Researcher</span>:</strong> <span class=""atr-value"">Ian Moffat</span></li>
  <li><strong><span class=""atr-name"">Elevation</span>:</strong> <span class=""atr-value"">6.8</span></li>
  <li><strong><span class=""atr-name"">Site_Locat</span>:</strong> <span class=""atr-value"">Adjacent to Highway 2 in new construction near Kebara Cave</span></li>
  <li><strong><span class=""atr-name"">Geology_ob</span>:</strong> <span class=""atr-value"">Sandstone with Carbonate Matrix</span></li>
  <li><strong><span class=""atr-name"">Symbol</span>:</strong> <span class=""atr-value"">c3</span></li>
  <li><strong><span class=""atr-name"">Lithology_</span>:</strong> <span class=""atr-value"">Dolostone, limestone, chert</span></li>
  <li><strong><span class=""atr-name"">Age</span>:</strong> <span class=""atr-value"">Cenomanian</span></li>
</ul>",POINT (34.93363833300003 32.56113666700003),,geonode:sr_israel_t1
geonode_sr_israel_t1.5,5,POINT (34.93363833300003 32.56113666700003),sr_israel_t1.5,true,true,,,"<h4>sr_israel_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">Latitude</span>:</strong> <span class=""atr-value"">N32°33.6682'</span></li>
  <li><strong><span class=""atr-name"">Longitude</span>:</strong> <span class=""atr-value"">E034°56.0183'</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">IS004</span></li>
  <li><strong><span class=""atr-name"">Descriptio</span>:</strong> <span class=""atr-value"">Rock</span></li>
  <li><strong><span class=""atr-name"">Researcher</span>:</strong> <span class=""atr-value"">Ian Moffat</span></li>
  <li><strong><span class=""atr-name"">Elevation</span>:</strong> <span class=""atr-value"">6.8</span></li>
  <li><strong><span class=""atr-name"">Site_Locat</span>:</strong> <span class=""atr-value"">Adjacent to Highway 2 in new construction near Kebara Cave</span></li>
  <li><strong><span class=""atr-name"">Geology_ob</span>:</strong> <span class=""atr-value"">Sandstone with Carbonate Matrix</span></li>
  <li><strong><span class=""atr-name"">Symbol</span>:</strong> <span class=""atr-value"">c3</span></li>
  <li><strong><span class=""atr-name"">Lithology_</span>:</strong> <span class=""atr-value"">Dolostone, limestone, chert</span></li>
  <li><strong><span class=""atr-name"">Age</span>:</strong> <span class=""atr-value"">Cenomanian</span></li>
</ul>",POINT (34.93363833300003 32.56113666700003),,geonode:sr_israel_t1
geonode_sr_israel_t1.6,6,POINT (34.93363833300003 32.56113666700003),sr_israel_t1.6,true,true,,,"<h4>sr_israel_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">Latitude</span>:</strong> <span class=""atr-value"">N32°33.6682'</span></li>
  <li><strong><span class=""atr-name"">Longitude</span>:</strong> <span class=""atr-value"">E034°56.0183'</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">IS004</span></li>
  <li><strong><span class=""atr-name"">Descriptio</span>:</strong> <span class=""atr-value"">Rock</span></li>
  <li><strong><span class=""atr-name"">Researcher</span>:</strong> <span class=""atr-value"">Ian Moffat</span></li>
  <li><strong><span class=""atr-name"">Elevation</span>:</strong> <span class=""atr-value"">6.8</span></li>
  <li><strong><span class=""atr-name"">Site_Locat</span>:</strong> <span class=""atr-value"">Adjacent to Highway 2 in new construction near Kebara Cave</span></li>
  <li><strong><span class=""atr-name"">Geology_ob</span>:</strong> <span class=""atr-value"">Sandstone with Carbonate Matrix</span></li>
  <li><strong><span class=""atr-name"">Symbol</span>:</strong> <span class=""atr-value"">c3</span></li>
  <li><strong><span class=""atr-name"">Lithology_</span>:</strong> <span class=""atr-value"">Dolostone, limestone, chert</span></li>
  <li><strong><span class=""atr-name"">Age</span>:</strong> <span class=""atr-value"">Cenomanian</span></li>
</ul>",POINT (34.93363833300003 32.56113666700003),,geonode:sr_israel_t1
geonode_sr_israel_t1.7,7,POINT (34.972208333000026 32.734336667000036),sr_israel_t1.7,true,true,,,"<h4>sr_israel_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">Latitude</span>:</strong> <span class=""atr-value"">N32°44.0602'</span></li>
  <li><strong><span class=""atr-name"">Longitude</span>:</strong> <span class=""atr-value"">E034°58.3325'</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">IS005</span></li>
  <li><strong><span class=""atr-name"">Descriptio</span>:</strong> <span class=""atr-value"">Rock</span></li>
  <li><strong><span class=""atr-name"">Researcher</span>:</strong> <span class=""atr-value"">Ian Moffat</span></li>
  <li><strong><span class=""atr-name"">Elevation</span>:</strong> <span class=""atr-value"">92.8</span></li>
  <li><strong><span class=""atr-name"">Site_Locat</span>:</strong> <span class=""atr-value"">Msylia Cave on Carmel Range east of Highway 4 Sth of Haifa</span></li>
  <li><strong><span class=""atr-name"">Geology_ob</span>:</strong> <span class=""atr-value"">Reefal Limestone</span></li>
  <li><strong><span class=""atr-name"">Symbol</span>:</strong> <span class=""atr-value"">t</span></li>
  <li><strong><span class=""atr-name"">Lithology_</span>:</strong> <span class=""atr-value"">Limestone, marl, dolostone</span></li>
  <li><strong><span class=""atr-name"">Age</span>:</strong> <span class=""atr-value"">Turonian</span></li>
</ul>",POINT (34.97220833300003 32.734336667000036),,geonode:sr_israel_t1
geonode_sr_israel_t1.8,8,POINT (34.972208333000026 32.734336667000036),sr_israel_t1.8,true,true,,,"<h4>sr_israel_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">Latitude</span>:</strong> <span class=""atr-value"">N32°44.0602'</span></li>
  <li><strong><span class=""atr-name"">Longitude</span>:</strong> <span class=""atr-value"">E034°58.3325'</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">IS005</span></li>
  <li><strong><span class=""atr-name"">Descriptio</span>:</strong> <span class=""atr-value"">Rock</span></li>
  <li><strong><span class=""atr-name"">Researcher</span>:</strong> <span class=""atr-value"">Ian Moffat</span></li>
  <li><strong><span class=""atr-name"">Elevation</span>:</strong> <span class=""atr-value"">92.8</span></li>
  <li><strong><span class=""atr-name"">Site_Locat</span>:</strong> <span class=""atr-value"">Msylia Cave on Carmel Range east of Highway 4 Sth of Haifa</span></li>
  <li><strong><span class=""atr-name"">Geology_ob</span>:</strong> <span class=""atr-value"">Reefal Limestone</span></li>
  <li><strong><span class=""atr-name"">Symbol</span>:</strong> <span class=""atr-value"">t</span></li>
  <li><strong><span class=""atr-name"">Lithology_</span>:</strong> <span class=""atr-value"">Limestone, marl, dolostone</span></li>
  <li><strong><span class=""atr-name"">Age</span>:</strong> <span class=""atr-value"">Turonian</span></li>
</ul>",POINT (34.97220833300003 32.734336667000036),,geonode:sr_israel_t1
geonode_sr_israel_t1.9,9,POINT (34.974881667000034 32.71450666700002),sr_israel_t1.9,true,true,,,"<h4>sr_israel_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">Latitude</span>:</strong> <span class=""atr-value"">N32°42.8704'</span></li>
  <li><strong><span class=""atr-name"">Longitude</span>:</strong> <span class=""atr-value"">E034°58.4929'</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">IS006</span></li>
  <li><strong><span class=""atr-name"">Descriptio</span>:</strong> <span class=""atr-value"">Rock</span></li>
  <li><strong><span class=""atr-name"">Researcher</span>:</strong> <span class=""atr-value"">Ian Moffat</span></li>
  <li><strong><span class=""atr-name"">Elevation</span>:</strong> <span class=""atr-value"">52.2</span></li>
  <li><strong><span class=""atr-name"">Site_Locat</span>:</strong> <span class=""atr-value"">Cave of Nahal Oren, off Highway 4 Sth of Haifa.  Material collected about 5m into cave on E edge</span></li>
  <li><strong><span class=""atr-name"">Geology_ob</span>:</strong> <span class=""atr-value"">Reefal Limestone</span></li>
  <li><strong><span class=""atr-name"">Symbol</span>:</strong> <span class=""atr-value"">t</span></li>
  <li><strong><span class=""atr-name"">Lithology_</span>:</strong> <span class=""atr-value"">Limestone, marl, dolostone</span></li>
  <li><strong><span class=""atr-name"">Age</span>:</strong> <span class=""atr-value"">Turonian</span></li>
</ul>",POINT (34.97488166700004 32.71450666700002),,geonode:sr_israel_t1
geonode_sr_israel_t1.10,10,POINT (34.974881667000034 32.71450666700002),sr_israel_t1.10,true,true,,,"<h4>sr_israel_t1</h4>

<ul class=""textattributes"">
  
  <li><strong><span class=""atr-name"">Latitude</span>:</strong> <span class=""atr-value"">N32°42.8704'</span></li>
  <li><strong><span class=""atr-name"">Longitude</span>:</strong> <span class=""atr-value"">E034°58.4929'</span></li>
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">IS006</span></li>
  <li><strong><span class=""atr-name"">Descriptio</span>:</strong> <span class=""atr-value"">Rock</span></li>
  <li><strong><span class=""atr-name"">Researcher</span>:</strong> <span class=""atr-value"">Ian Moffat</span></li>
  <li><strong><span class=""atr-name"">Elevation</span>:</strong> <span class=""atr-value"">52.2</span></li>
  <li><strong><span class=""atr-name"">Site_Locat</span>:</strong> <span class=""atr-value"">Cave of Nahal Oren, off Highway 4 Sth of Haifa.  Material collected about 5m into cave on E edge</span></li>
  <li><strong><span class=""atr-name"">Geology_ob</span>:</strong> <span class=""atr-value"">Reefal Limestone</span></li>
  <li><strong><span class=""atr-name"">Symbol</span>:</strong> <span class=""atr-value"">t</span></li>
  <li><strong><span class=""atr-name"">Lithology_</span>:</strong> <span class=""atr-value"">Limestone, marl, dolostone</span></li>
  <li><strong><span class=""atr-name"">Age</span>:</strong> <span class=""atr-value"">Turonian</span></li>
</ul>",POINT (34.97488166700004 32.71450666700002),,geonode:sr_israel_t1
