FID,fid,the_geom,sample_num,site_name,eastings,Northings,Geology,Rock,Catchment,soil_87sr,_2se,plant_87sr,_2se_1,sp,combined_8
CapeYork_soilplant.1,1,POINT (141.14554 -17.4533),1,Maggieville,141.14554,-17.4533,T3,Alluvial,Norman,0.7297,0.000009,0.728399,0.000007,0.000651,0.729049
CapeYork_soilplant.2,2,POINT (140.8519 -17.474849),2,Karumba,140.8519,-17.474849,QC,Marine Sands,Norman,0.709262,0.000008,0.709471,0.000009,-0.000104,0.709366
CapeYork_soilplant.3,3,POINT (141.05485 -17.69346),3,Normanton,141.05485,-17.69346,K,Clastic,Norman,0.715791,0.000012,0.716091,0.000008,-0.000149,0.715941
CapeYork_soilplant.4,4,POINT (141.5437 -17.97462),4,T3/Qa,141.5437,-17.97462,T3,Alluvial,Norman,0.728594,0.000009,0.727881,0.00001,0.000356,0.728237
CapeYork_soilplant.5,5,POINT (142.00959 -18.04558),5,Qa/T3,142.00959,-18.04558,T3,Alluvial,Norman,0.736993,0.000019,0.734961,0.000013,0.001016,0.735977
CapeYork_soilplant.6,6,POINT (142.23874 -18.18963),6,Croydon,142.23874,-18.18963,mPi,Felsic Extrusives,Norman,0.791074,0.000022,0.782212,0.000012,0.004431,0.786643
CapeYork_soilplant.7,7,POINT (142.686256 -18.27315),7,Five Mile Water Hole,142.686256,-18.27315,mPv,High Grade Metamorphic,Gilbert,0.775708,0.000013,0.778955,0.00001,-0.001623,0.777331
CapeYork_soilplant.8,8,POINT (142.89252 -18.19044),8,Chadshunt Turnoff,142.89252,-18.19044,Qa,Alluvial,Gilbert,0.734764,0.00001,0.734853,0.000011,-0.000044,0.734808
CapeYork_soilplant.9,9,POINT (142.66583 -17.95971),9,Strathmore Front Gate,142.66583,-17.95971,T2,Alluvial,Gilbert,0.737509,0.000023,0.738346,0.000009,-0.000418,0.737927
CapeYork_soilplant.10,10,POINT (145.42091 -16.433754),10,Mossman,145.42091,-16.433754,D,Clastic,Mossman,0.714793,0.000013,0.715513,0.000012,-0.000359,0.715153
CapeYork_soilplant.11,11,POINT (145.651122 -16.825982),11,Cairns Hinterland,145.651122,-16.825982,D,Clastic,Barron,0.715356,0.000012,0.719205,0.00001,-0.001924,0.71728
CapeYork_soilplant.12,12,POINT (145.40421 -16.99433),12,Mareeba,145.40421,-16.99433,CZV,Mafic Volcanic,Barron,0.716044,0.000014,0.715773,0.00001,0.000135,0.715908
CapeYork_soilplant.13,13,POINT (145.08621 -17.16276),13,Dimbula,145.08621,-17.16276,CPv,Felsic Extrusives,Mitchell,0.741936,0.000013,0.741189,0.00001,0.000373,0.741562
CapeYork_soilplant.14,14,POINT (144.66759 -17.34796),14,Almadden,144.66759,-17.34796,Cpi,Felsic Intrusive,Mitchell,0.709645,0.000015,0.713341,0.00001,-0.001847,0.711493
CapeYork_soilplant.15,15,POINT (144.29944 -16.99138),15,Rookwood,144.29944,-16.99138,D,Clastic,Mitchell,0.718266,0.00001,0.718904,0.000013,-0.000319,0.718584
CapeYork_soilplant.16,16,POINT (144.3566 -16.89977),16,"Nychum, Gate to station",144.3566,-16.89977,CPv,Felsic Extrusives,Mitchell,0.74043,0.000018,0.736224,0.000014,0.002102,0.738326
CapeYork_soilplant.17,17,POINT (144.13348 -16.59735),17,Bellevue,144.13348,-16.59735,SD,Carbonates,Mitchell,0.729194,0.000009,0.727514,0.000012,0.000839,0.728353
CapeYork_soilplant.18,18,POINT (143.96683 -16.39162),18,Mt Mulgrave,143.96683,-16.39162,pP,High Grade Metamorphic,Mitchell,0.739381,0.00001,0.741781,0.00001,-0.001199,0.740581
