FID,fid,Geometry,name,visibility,open,address,phoneNumber,description,LookAt,Region,Folder
geonode_new_caledonia_t1.1,1,POINT (166.7461809890001 -22.14165695899993),new_caledonia_t1.72,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0033</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.7461809890001 -22.14165695899993),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.2,2,POINT (166.41567902600002 -22.174056032999943),new_caledonia_t1.73,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0043</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.41567902600002 -22.174056032999943),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.3,3,POINT (166.43743501000006 -22.301563973999976),new_caledonia_t1.74,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0052</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.43743501000006 -22.30156397399999),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.4,4,POINT (166.32125403700002 -22.104334020999943),new_caledonia_t1.75,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0062</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.32125403700002 -22.104334020999943),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.5,5,POINT (166.26821402500002 -22.065401002999977),new_caledonia_t1.76,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0072</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.26821402500002 -22.065401003000005),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.6,6,POINT (166.2044450080001 -21.986627960999954),new_caledonia_t1.77,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0081</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.2044450080001 -21.986627960999968),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.7,7,POINT (166.06460301200002 -21.87726197799998),new_caledonia_t1.78,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0091</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.06460301200002 -21.877261977999993),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.8,8,POINT (166.0489799830001 -21.850821012999972),new_caledonia_t1.79,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0102</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.0489799830001 -21.850821013),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.9,9,POINT (166.068519959 -21.803725026999928),new_caledonia_t1.80,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0111</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.068519959 -21.803725026999928),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.10,10,POINT (166.08641398100008 -21.75067503899993),new_caledonia_t1.81,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0122</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.08641398100008 -21.750675038999944),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.11,11,POINT (166.09770599800004 -21.742564038999944),new_caledonia_t1.82,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0132</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.09770599800004 -21.742564038999944),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.12,12,POINT (166.12065699000004 -21.71652699799995),new_caledonia_t1.83,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0142</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.12065699000004 -21.71652699799995),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.13,13,POINT (166.12965102300006 -21.69188302899994),new_caledonia_t1.84,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0151</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.12965102300006 -21.69188302899994),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.14,14,POINT (166.14029503400002 -21.67275200599994),new_caledonia_t1.85,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0163</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.14029503400002 -21.672752005999953),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.15,15,POINT (166.1644790040001 -21.66966604099997),new_caledonia_t1.86,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0172</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.1644790040001 -21.669666041),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.16,16,POINT (166.16809101800004 -21.66253102899998),new_caledonia_t1.87,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0182</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.16809101800004 -21.66253102899998),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.17,17,POINT (166.18185100100004 -21.589434965999942),new_caledonia_t1.88,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0192</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.18185100100004 -21.589434965999956),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.18,18,POINT (166.24373400600007 -21.61483297099994),new_caledonia_t1.89,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0201</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.24373400600007 -21.61483297099997),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.19,19,POINT (166.19545701000004 -21.641641985999968),new_caledonia_t1.90,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0211</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (166.19545701000004 -21.641641985999968),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.20,20,POINT (165.90897001300004 -21.841779034999945),new_caledonia_t1.91,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0221</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.90897001300004 -21.84177903499996),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.21,21,POINT (165.8503769900001 -21.84386202099995),new_caledonia_t1.92,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0231</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.8503769900001 -21.843862020999964),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.22,22,POINT (165.8464769740001 -21.75904101699996),new_caledonia_t1.93,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0242</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.8464769740001 -21.75904101699996),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.23,23,POINT (165.79517997800008 -21.681603965999955),new_caledonia_t1.94,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0252</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.79517997800008 -21.68160396599997),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.24,24,POINT (165.82162203300004 -21.62964203399997),new_caledonia_t1.95,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0262</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.82162203300004 -21.62964203399997),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.25,25,POINT (165.81557901600002 -21.616536005999933),new_caledonia_t1.96,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0271</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.81557901600002 -21.616536005999947),,geonode:new_caledonia_t1
